time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20231112:1230,0.0,0.0,0.0,0.0,24.17,2.41,0.0
20231112:1330,0.0,0.0,0.0,0.0,22.14,2.55,0.0
20231112:1430,0.0,0.0,0.0,0.0,20.84,2.55,0.0
20231112:1530,0.0,0.0,0.0,0.0,19.83,2.48,0.0
20231112:1630,0.0,0.0,0.0,0.0,18.93,2.34,0.0
20231112:1730,0.0,0.0,0.0,0.0,18.08,2.14,0.0
20231112:1830,0.0,0.0,0.0,0.0,17.27,2.07,0.0
20231112:1930,0.0,0.0,0.0,0.0,16.42,2.21,0.0
20231112:2030,0.0,0.0,0.0,0.0,15.9,2.21,0.0
20231112:2130,0.0,0.0,0.0,0.0,15.41,2.21,0.0
20231112:2230,0.0,0.0,0.0,0.0,14.84,2.0,0.0
20231112:2330,0.0,0.0,0.0,0.0,14.13,1.72,0.0
20231113:0030,0.0,0.0,0.0,0.0,13.54,1.72,0.0
20231113:0130,0.0,6.27,1.76,2.82,13.01,1.66,0.0
20231113:0230,0.0,23.14,6.5,14.64,13.56,1.24,0.0
20231113:0330,3.25,36.27,39.49,25.4,17.81,0.97,0.0
20231113:0430,148.11,58.4,55.56,34.46,21.08,0.97,0.0
20231113:0530,309.02,78.45,66.15,40.86,23.44,0.9,0.0
20231113:0630,457.51,96.67,69.91,43.47,24.83,0.9,0.0
20231113:0730,555.55,122.81,66.29,41.67,25.68,0.83,0.0
20231113:0830,571.16,153.36,55.56,35.9,26.25,0.9,0.0
20231113:0930,562.22,150.89,40.85,27.25,26.46,0.97,0.0
20231113:1030,329.26,132.03,20.68,16.74,26.33,1.1,0.0
20231113:1130,111.68,45.45,4.61,5.09,25.71,1.03,0.0
20231113:1230,0.0,0.0,0.0,0.0,24.44,1.45,0.0
20231113:1330,0.0,0.0,0.0,0.0,22.75,1.66,0.0
20231113:1430,0.0,0.0,0.0,0.0,21.33,1.79,0.0
20231113:1530,0.0,0.0,0.0,0.0,20.03,1.93,0.0
20231113:1630,0.0,0.0,0.0,0.0,18.98,2.07,0.0
20231113:1730,0.0,0.0,0.0,0.0,18.15,2.07,0.0
20231113:1830,0.0,0.0,0.0,0.0,17.55,2.07,0.0
20231113:1930,0.0,0.0,0.0,0.0,17.22,2.21,0.0
20231113:2030,0.0,0.0,0.0,0.0,16.89,2.21,0.0
20231113:2130,0.0,0.0,0.0,0.0,16.52,2.14,0.0
20231113:2230,0.0,0.0,0.0,0.0,16.23,1.93,0.0
20231113:2330,0.0,0.0,0.0,0.0,15.62,1.72,0.0
20231114:0030,0.0,0.0,0.0,0.0,14.99,1.45,0.0
20231114:0130,0.0,8.26,2.32,2.65,14.87,1.24,0.0
20231114:0230,0.0,39.27,11.03,14.44,15.71,0.76,0.0
20231114:0330,2.18,87.14,30.94,25.18,18.39,0.48,0.0
20231114:0430,67.79,126.61,43.11,34.22,21.27,0.55,0.0
20231114:0530,182.85,156.16,56.16,40.6,23.38,0.76,0.0
20231114:0630,215.6,201.17,56.45,43.21,24.78,1.24,0.0
20231114:0730,333.81,206.28,57.4,41.43,25.27,1.72,0.0
20231114:0830,399.63,199.14,50.11,35.69,25.89,1.93,0.0
20231114:0930,453.34,167.08,37.82,27.08,26.13,2.0,0.0
20231114:1030,362.5,132.21,21.01,16.61,26.0,2.07,0.0
20231114:1130,213.17,58.97,4.99,4.98,25.29,1.72,0.0
20231114:1230,0.0,0.0,0.0,0.0,23.78,2.07,0.0
20231114:1330,0.0,0.0,0.0,0.0,21.91,2.34,0.0
20231114:1430,0.0,0.0,0.0,0.0,20.68,2.34,0.0
20231114:1530,0.0,0.0,0.0,0.0,19.76,2.34,0.0
20231114:1630,0.0,0.0,0.0,0.0,18.96,2.28,0.0
20231114:1730,0.0,0.0,0.0,0.0,18.23,2.34,0.0
20231114:1830,0.0,0.0,0.0,0.0,17.65,2.28,0.0
20231114:1930,0.0,0.0,0.0,0.0,16.71,2.14,0.0
20231114:2030,0.0,0.0,0.0,0.0,16.07,2.14,0.0
20231114:2130,0.0,0.0,0.0,0.0,15.46,2.14,0.0
20231114:2230,0.0,0.0,0.0,0.0,14.84,2.07,0.0
20231114:2330,0.0,0.0,0.0,0.0,14.24,2.0,0.0
20231115:0030,0.0,0.0,0.0,0.0,13.7,2.07,0.0
20231115:0130,0.0,5.82,1.64,2.47,13.3,2.07,0.0
20231115:0230,0.0,22.48,6.32,14.25,13.51,1.72,0.0
20231115:0330,7.13,35.87,39.09,24.97,17.68,1.59,0.0
20231115:0430,153.25,57.84,55.18,33.98,21.08,1.59,0.0
20231115:0530,315.39,77.37,65.78,40.34,23.56,1.79,0.0
20231115:0630,465.54,95.44,69.66,42.95,24.94,1.45,0.0
20231115:0730,584.97,110.37,66.74,41.19,25.64,1.66,0.0
20231115:0830,650.98,122.11,57.15,35.49,26.24,1.38,0.0
20231115:0930,642.08,128.03,41.95,26.92,26.5,1.31,0.0
20231115:1030,524.16,119.75,23.09,16.48,26.41,1.45,0.0
20231115:1130,299.14,62.68,5.22,4.88,25.81,1.38,0.0
20231115:1230,0.0,0.0,0.0,0.0,24.39,1.59,0.0
20231115:1330,0.0,0.0,0.0,0.0,22.53,1.66,0.0
20231115:1430,0.0,0.0,0.0,0.0,20.72,1.52,0.0
20231115:1530,0.0,0.0,0.0,0.0,18.93,1.45,0.0
20231115:1630,0.0,0.0,0.0,0.0,17.66,1.45,0.0
20231115:1730,0.0,0.0,0.0,0.0,16.66,1.72,0.0
20231115:1830,0.0,0.0,0.0,0.0,16.04,1.93,0.0
20231115:1930,0.0,0.0,0.0,0.0,15.49,1.66,0.0
20231115:2030,0.0,0.0,0.0,0.0,14.94,1.72,0.0
20231115:2130,0.0,0.0,0.0,0.0,14.53,1.79,0.0
20231115:2230,0.0,0.0,0.0,0.0,14.14,1.72,0.0
20231115:2330,0.0,0.0,0.0,0.0,13.82,1.66,0.0
20231116:0030,0.0,0.0,0.0,0.0,13.5,1.66,0.0
20231116:0130,0.0,5.71,1.6,2.3,13.18,1.59,0.0
20231116:0230,0.0,23.03,6.47,14.06,13.84,1.17,0.0
20231116:0330,8.65,37.67,38.06,24.75,18.27,0.83,0.0
20231116:0430,150.89,60.02,53.98,33.74,21.92,0.83,0.0
20231116:0530,310.76,78.8,64.56,40.08,24.26,1.03,0.0
20231116:0630,457.67,96.69,68.36,42.69,25.59,1.79,0.0
20231116:0730,552.88,120.22,64.51,40.96,26.26,1.52,0.0
20231116:0830,636.57,123.01,55.95,35.3,26.78,1.66,0.0
20231116:0930,626.23,127.62,40.98,26.77,26.93,1.59,0.0
20231116:1030,506.19,117.72,22.4,16.36,26.73,1.45,0.0
20231116:1130,284.75,59.2,4.99,4.79,26.15,1.17,0.0
20231116:1230,0.0,0.0,0.0,0.0,24.89,1.1,0.0
20231116:1330,0.0,0.0,0.0,0.0,23.17,1.17,0.0
20231116:1430,0.0,0.0,0.0,0.0,21.18,1.17,0.0
20231116:1530,0.0,0.0,0.0,0.0,20.12,1.1,0.0
20231116:1630,0.0,0.0,0.0,0.0,19.51,0.97,0.0
20231116:1730,0.0,0.0,0.0,0.0,19.61,0.62,0.0
20231116:1830,0.0,0.0,0.0,0.0,19.09,0.41,0.0
20231116:1930,0.0,0.0,0.0,0.0,18.77,0.0,0.0
20231116:2030,0.0,0.0,0.0,0.0,18.3,0.14,0.0
20231116:2130,0.0,0.0,0.0,0.0,17.78,0.55,0.0
20231116:2230,0.0,0.0,0.0,0.0,16.75,0.97,0.0
20231116:2330,0.0,0.0,0.0,0.0,15.88,1.1,0.0
20231117:0030,0.0,0.0,0.0,0.0,15.1,1.24,0.0
20231117:0130,0.0,5.29,1.49,2.13,14.55,1.31,0.0
20231117:0230,0.0,22.2,6.23,13.87,14.76,1.1,0.0
20231117:0330,10.17,37.66,37.26,24.54,18.91,0.62,0.0
20231117:0430,151.31,59.49,53.19,33.51,22.41,0.62,0.0
20231117:0530,309.49,79.19,63.8,39.83,24.62,0.76,0.0
20231117:0630,447.06,99.14,66.91,42.44,25.82,1.24,0.0
20231117:0730,530.56,128.27,63.03,40.73,26.55,1.38,0.0
20231117:0830,509.64,143.37,49.69,35.11,27.01,1.31,0.0
